stockSymbol,currentPrice,earningsGrowth,ebitda,ebitdaMargins,grossMargins,grossProfits,current_ratio,debt_to_eqr,ROA,ROE,net_profit_margin,revenueGrowth,operatingCashflow,operatingMargins,profitMargins,quickRatio,revenuePerShare,totalCash,totalCashPerShare,totalDebt,totalRevenue,operatingMargins
ZEEL.NS,187.55,0.143,11827399680,0.1533,0.38774,37279000000,4.536,8.389,0,-0.02535,-0.03142,0.332,0,0.12988,-0.03142,1.984,80.355,21777999872,22.674,8248000000,77152100352,0.12988
APOLLO.NS,105.45,-0.6,405658144,0.20438999,0.24768999,651524044,0,36.479,0,0,0.043080002,-0.508,0,0.14055,0.043080002,0,95.569,108221048,5.192,1094924288,1984710784,0.14055
BALAJITELE.NS,56.8,0,137519744,0.04212,0.14458,1551915000,0,2.032,0,0,-0.30301002,-0.438,0,-0.2911,-0.30301002,0,32.272,2338971904,23.134,131278000,3265024000,-0.2911
BANKINDIA.NS,75.3,3.429,0,0,0,60425771000,0,0,-0.00236,-0.0334,-0.18976,0.456,0,-0.29615,-0.18976,0,25.692,500192608256,152.425,371967885312,84371267584,-0.29615
BFUTILITIE.NS,306.2,0.924,2129944064,0.46629003,0.8806,4780950000,0,0,0,0,-0.044899996,0.024,0,0.35121,-0.044899996,0,124.015,3162924032,164.929,16937198592,4567808000,0.35121
BHEL.NS,67.25,0,-25433600000,-0.16746001,0.17754,55153200000,0,17.842,0,0,-0.21035999,-0.216,0,-0.19274001,-0.21035999,0,45.846,62609301504,18.14,48476299264,151880302592,-0.19274001
BPCL.NS,439.95,-0.122,166891880448,0.07501,0.16537,319797700000,0,115.669,0,0,0.01805,-0.119,0,0.057540003,0.01805,0,1130.944,128080003072,65.135,492663898112,2224806166528,0.057540003
CADILAHC.NS,615.25,0.411,32931999744,0.21944,0.64776003,91727000000,0,41.393,0,0,0.12304,0.043,0,0.17171,0.12304,0,146.534,26428000256,25.816,56434999296,150075998208,0.17171
CANBK.NS,152.05,-0.016,0,0,0,145534615000,0,0,0,0,-0.061979998,0.839,0,-0.04183,-0.061979998,0,179.893,345286410240,230.734,569286328320,244473806848,-0.04183
COFORGE.NS,3374,0.004,6999249920,0.15517001,0.34678,15166000000,2.483,0.065,0.11253,0.19296,0.09671,0.109,0,0.13023,0.09671,1.651,733.662,5365000192,88.566,15000000,45105999872,0.13023
DAAWAT.NS,83.55,0.458,5442591232,0.115830004,0.27516,10804674000,0,80.297,0,0,0.05781,0.079,0,0.10012,0.05781,0,146.999,465561984,1.453,14193918976,46988701696,0.10012
DELTACORP.NS,150.55,1.009,130200000,0.03108,0.48242,2020700000,4.672,1.429,-0.011510001,-0.01308,-0.057529997,0.168,565600000,-0.094639994,-0.057529997,3.545,15.642,5930599936,22.174,277700000,4188699904,-0.094639994
DIVISLAB.NS,4036.7,0.31,25563875328,0.38904,0.6355,31489200000,0,0.061,0,0,0.28465998,0.219,0,0.35923,0.28465998,0,247.531,18769000448,70.701,50900000,65709699072,0.35923
DLF.NS,259.15,0.09,12877268992,0.23866,0.45571998,27023507000,0,0,0,0,-0.23076001,0.15,0,0.21167,-0.23076001,0,21.816,0,0,0,53956923392,0.21167
DLINKINDIA.NS,105.5,0.164,353428256,0.05214,0.18125999,1402595000,0,3.54,0,0,0.04481,0.037,0,0.050419997,0.04481,0,191.014,1090547968,30.753,87307000,6778946048,0.050419997
EIHOTEL.NS,93,0,-1737002496,-0.24523,0.21392,8615840000,0,26.188,0,0,-0.41355,-0.648,0,-0.41708001,-0.41355,0,12.194,2757199872,4.502,7739400192,7083189760,-0.41708001
GILLETTE.NS,5497.95,1.017,4921724928,0.25575,0.55116004,9413500000,0,0.012,0,0,0.17035,0.32,0,0.22805999,0.17035,0,590.554,3995500032,122.595,1100000,19244199936,0.22805999
GLOBUSSPR.NS,315.05,2.145,1993213312,0.17399,0.42933998,4334548000,0,37.707,0,0,0.09567001,-0.036,0,0.14209,0.09567001,0,397.793,451888992,15.686,1878043008,11455916032,0.14209
GNA.NS,379,4.969,1438496000,0.1617,0.37521,3337838000,1.764,38.059,0.07241,0.14646,0.079390004,1.021,314444992,0.115930006,0.079390004,1.253,414.42,195068000,9.087,1969842944,8895926272,0.115930006
GSFC.NS,118.8,0,6570087424,0.0847,0.25714,18281376000,0,7.465,0,0,0.046680003,0.187,0,0.05894,0.046680003,0,194.689,2626899968,6.618,5714500096,77565075456,0.05894
